age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,churn
44.0,0,499.0,0.0,0.0,0.0,0.0,0,37.0,0,0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,28.0,0.93,0,0
25.0,1,481.0,0.0,0.0,79.0,0.0,0,96.0,0,0,20.0,1,1,1,1,0,0,1,0,0,0,0,0,0,25.0,0.83,1,0
39.0,1,500.0,6.0,1.0,47.0,6.0,0,113.0,0,0,25.0,1,0,0,0,1,0,3,0,0,0,0,0,0,21.0,0.7,1,0
30.0,-1,481.0,2.0,1.0,194.0,2.0,0,275.0,0,0,17.0,1,1,1,0,1,0,3,0,0,0,0,0,0,67.0,2.23,1,0
53.0,1,517.0,1.0,1.0,25.0,1.0,0,75.0,0,0,22.0,1,1,1,0,1,3,4,0,0,0,0,0,0,15.0,0.75,0,0
40.0,1,567.0,2.0,0.0,32.0,2.0,0,59.0,0,0,7.0,1,1,1,1,0,3,3,0,0,0,0,1,0,22.0,0.79,1,0
32.0,0,585.0,0.0,0.0,3.0,0.0,0,2.0,0,0,0.0,1,1,1,1,0,2,3,0,0,0,0,0,0,2.0,0.07,0,0
38.0,0,584.0,0.0,0.0,93.0,0.0,0,219.0,0,0,15.0,1,1,1,0,1,2,4,0,0,0,0,1,0,51.0,1.7,0,0
24.0,0,364.0,5.0,0.0,130.0,4.0,0,275.0,0,0,4.0,1,1,1,1,0,0,0,0,0,0,0,0,0,63.0,2.1,0,0
29.0,0,498.0,0.0,0.0,16.0,0.0,0,18.0,0,0,2.0,1,0,0,1,0,0,3,0,0,0,0,0,0,4.0,0.8,1,0
27.0,0,534.0,0.0,0.0,3.0,0.0,0,0.0,0,0,0.0,1,0,0,0,1,2,3,0,0,0,0,1,0,3.0,0.1,0,0
32.0,-1,518.0,1.0,0.0,20.0,1.0,0,43.0,0,0,0.0,1,1,1,1,0,0,2,0,0,0,0,0,0,9.0,0.3,1,0
34.0,1,559.0,0.0,0.0,60.0,0.0,0,271.0,0,0,10.0,1,1,1,0,1,0,4,0,0,0,0,0,0,65.0,2.17,1,0
23.0,1,478.0,5.0,0.0,63.0,5.0,0,170.0,0,0,9.0,1,1,1,1,0,0,3,0,0,0,0,0,0,46.0,1.53,1,0
30.0,1,615.0,6.0,0.0,122.0,6.0,0,116.0,0,0,8.0,1,0,0,0,1,0,1,0,0,0,0,0,0,27.0,1.0,1,0
36.0,0,534.0,0.0,0.0,0.0,0.0,0,11.0,0,0,2.0,1,1,1,1,1,2,3,0,0,0,0,0,0,5.0,0.17,0,1
50.0,1,536.0,24.0,0.0,88.0,24.0,0,215.0,0,0,17.0,1,1,1,1,0,5,0,0,0,0,0,0,0,42.0,1.4,1,0
37.0,1,520.0,6.0,0.0,80.0,6.0,0,180.0,0,0,28.0,1,1,1,0,1,0,3,0,0,0,0,0,0,49.0,1.63,1,0
45.0,0,522.0,0.0,0.0,71.0,0.0,0,216.0,0,0,17.0,1,1,1,0,1,2,1,0,0,0,0,0,0,44.0,1.47,0,0
23.0,1,541.0,3.0,0.0,0.0,3.0,1,161.0,1,0,31.0,1,0,0,0,1,2,4,0,0,1,0,0,0,48.0,1.6,1,0
47.0,-1,554.0,10.0,0.0,70.0,10.0,0,200.0,0,0,27.0,1,1,1,1,0,0,3,0,0,0,0,0,0,45.0,1.5,0,0
32.0,0,567.0,8.0,0.0,40.0,8.0,0,79.0,0,0,9.0,1,1,1,0,1,0,3,0,0,0,0,0,0,29.0,0.97,1,0
28.0,0,606.0,0.0,0.0,0.0,0.0,0,9.0,0,0,1.0,1,0,0,0,1,0,4,0,0,0,0,0,0,9.0,0.3,0,0
50.0,0,549.0,7.0,1.0,7.0,7.0,0,25.0,0,0,11.0,1,1,1,0,1,0,3,0,0,0,0,0,0,7.0,0.32,0,0
33.0,1,541.0,0.0,0.0,159.0,0.0,0,299.0,0,0,4.0,1,0,0,0,1,2,3,0,0,0,0,0,0,67.0,2.23,1,0
25.0,0,518.0,0.0,0.0,13.0,0.0,0,26.0,0,0,0.0,1,0,0,1,0,0,2,0,0,0,0,0,0,6.0,0.2,0,0
25.0,1,475.0,0.0,0.0,83.0,0.0,0,153.0,0,0,15.0,1,0,0,0,1,0,4,0,0,0,0,0,0,36.0,1.2,1,0
28.0,1,548.0,0.0,0.0,0.0,0.0,0,102.0,0,0,15.0,1,0,0,1,0,0,3,0,0,0,0,0,0,41.0,1.37,1,0
29.0,1,572.0,35.0,2.0,49.0,35.0,0,162.0,0,0,45.0,1,1,1,0,1,0,3,0,0,0,0,0,0,45.0,1.5,0,0
20.0,-1,515.0,0.0,0.0,15.0,0.0,0,20.0,0,0,0.0,1,0,0,0,1,0,4,0,0,0,0,1,0,8.0,0.27,0,0
39.0,-1,626.0,0.0,0.0,0.0,0.0,0,136.0,0,0,35.0,1,1,1,0,1,3,3,0,0,0,0,0,0,43.0,1.43,1,0
42.0,1,538.0,58.0,2.0,47.0,58.0,0,269.0,0,0,52.0,1,1,1,1,0,0,2,0,0,0,0,0,0,67.0,2.23,1,0
36.0,1,543.0,15.0,1.0,40.0,15.0,0,115.0,0,0,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,36.0,1.2,0,0
34.0,1,605.0,0.0,0.0,0.0,0.0,0,137.0,0,0,15.0,1,1,1,1,0,2,0,0,0,0,0,0,0,40.0,1.33,0,0
33.0,1,607.0,20.0,4.0,30.0,20.0,0,43.0,0,0,12.0,1,1,1,0,1,0,0,0,0,0,0,0,0,20.0,0.67,0,0
54.0,1,617.0,29.0,0.0,38.0,29.0,0,107.0,0,0,19.0,1,1,1,1,0,0,3,0,0,0,0,0,0,31.0,1.03,1,0
27.0,0,511.0,1.0,1.0,6.0,1.0,0,15.0,0,0,4.0,1,0,0,1,0,0,4,0,0,0,0,0,0,4.0,0.13,0,0
28.0,0,531.0,4.0,0.0,19.0,4.0,0,50.0,0,0,4.0,1,0,0,0,1,0,3,0,0,0,0,0,0,13.0,0.93,0,0
37.0,0,417.0,1.0,0.0,35.0,1.0,0,86.0,0,0,0.0,1,1,1,1,0,0,3,0,0,0,0,0,0,25.0,0.83,0,0
30.0,0,584.0,0.0,0.0,12.0,0.0,0,32.0,0,0,1.0,1,1,1,0,1,0,3,0,0,0,0,0,0,11.0,0.69,0,0
43.0,0,585.0,0.0,0.0,0.0,0.0,0,181.0,0,0,6.0,1,0,0,0,1,0,3,0,0,0,0,0,0,60.0,2.0,0,0
35.0,-1,563.0,33.0,0.0,72.0,33.0,0,185.0,0,0,12.0,1,0,0,0,1,0,1,0,0,0,0,1,0,40.0,1.33,1,0
22.0,1,581.0,0.0,0.0,0.0,0.0,0,214.0,0,0,12.0,1,1,1,0,1,0,0,0,0,0,0,0,0,67.0,2.23,0,0
24.0,-1,638.0,0.0,0.0,47.0,0.0,0,119.0,0,0,7.0,1,1,1,1,0,0,3,0,0,0,0,0,0,34.0,1.13,1,0
31.0,1,557.0,0.0,0.0,3.0,0.0,0,6.0,0,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,2.0,0.5,0,0
35.0,0,497.0,18.0,0.0,70.0,18.0,0,165.0,0,0,4.0,1,0,0,1,0,0,2,0,0,0,0,0,0,51.0,1.7,0,0
23.0,0,581.0,0.0,0.0,0.0,0.0,0,89.0,0,0,11.0,1,1,1,0,1,0,2,0,0,0,0,0,0,33.0,1.1,1,0
58.0,1,577.0,44.0,3.0,51.0,44.0,0,224.0,0,0,129.0,1,1,1,1,0,0,4,0,0,0,0,0,0,8.0,0.27,1,0
35.0,0,420.0,4.0,0.0,7.0,3.0,0,11.0,0,0,7.0,1,1,1,0,1,0,3,0,0,0,0,0,0,3.0,0.75,1,0
35.0,1,417.0,11.0,1.0,45.0,11.0,0,75.0,0,0,17.0,1,0,0,0,1,0,3,0,0,0,0,0,0,14.0,0.67,1,0
34.0,0,581.0,0.0,0.0,0.0,0.0,0,134.0,0,0,6.0,1,0,0,0,1,0,3,0,0,0,0,0,0,37.0,1.23,0,1
25.0,0,573.0,0.0,0.0,80.0,0.0,0,113.0,0,0,7.0,1,1,1,0,1,0,2,0,0,0,0,0,0,27.0,0.96,1,0
44.0,0,545.0,1.0,0.0,5.0,1.0,0,0.0,0,0,0.0,1,1,1,0,1,0,3,0,0,0,0,0,0,3.0,0.13,0,0
37.0,0,502.0,0.0,0.0,13.0,0.0,0,28.0,0,0,3.0,1,1,1,0,1,0,3,0,0,0,0,0,0,12.0,0.4,1,0
25.0,1,468.0,0.0,0.0,44.0,0.0,0,128.0,0,0,9.0,1,0,0,0,1,0,0,0,0,0,0,0,0,37.0,1.23,0,0
39.0,1,548.0,21.0,2.0,91.0,21.0,0,227.0,0,0,25.0,1,1,1,1,0,0,3,0,0,0,0,0,0,58.0,1.93,0,0
31.0,1,521.0,0.0,0.0,57.0,0.0,0,190.0,0,0,24.0,1,1,1,1,0,2,4,0,0,0,0,0,0,52.0,1.73,1,0
30.0,1,471.0,0.0,0.0,9.0,0.0,0,15.0,0,0,1.0,1,1,1,1,0,0,4,0,0,0,0,0,0,5.0,0.17,0,0
27.0,1,464.0,0.0,0.0,91.0,0.0,0,132.0,0,0,7.0,1,0,0,0,1,0,3,0,0,0,0,0,0,35.0,1.17,0,0
27.0,0,465.0,0.0,0.0,9.0,0.0,0,12.0,0,0,0.0,1,0,0,0,1,0,4,0,0,0,0,0,0,6.0,0.4,0,0
77.0,1,509.0,0.0,0.0,45.0,0.0,0,24.0,0,0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,30.0,1.0,0,0
23.0,1,552.0,2.0,1.0,21.0,2.0,0,23.0,0,0,2.0,1,1,1,0,1,0,3,0,0,0,0,0,0,11.0,0.37,0,0
31.0,-1,499.0,0.0,0.0,63.0,0.0,0,139.0,0,0,0.0,1,1,1,1,0,0,3,0,0,0,0,0,0,54.0,1.8,0,0
34.0,1,508.0,1.0,0.0,18.0,1.0,0,208.0,3,0,10.0,1,0,0,0,1,0,3,0,0,0,0,0,0,64.0,2.13,0,0
38.0,1,584.0,0.0,0.0,0.0,0.0,0,83.0,0,0,8.0,1,0,0,1,0,0,1,0,0,0,0,0,0,49.0,1.63,0,0
32.0,1,492.0,0.0,0.0,74.0,0.0,0,164.0,0,0,4.0,1,1,1,0,1,0,0,0,0,0,0,0,0,28.0,0.93,0,0
25.0,0,545.0,0.0,0.0,27.0,0.0,0,44.0,0,0,2.0,1,1,1,0,1,0,1,0,0,0,0,1,0,20.0,0.67,0,0
44.0,0,586.0,0.0,0.0,41.0,0.0,0,107.0,0,0,9.0,1,0,0,1,0,2,3,0,0,0,0,0,0,30.0,1.0,0,0
30.0,0,606.0,0.0,0.0,79.0,0.0,0,167.0,0,0,7.0,1,0,0,0,1,0,2,0,0,0,0,0,0,45.0,1.5,0,0
19.0,0,602.0,0.0,0.0,6.0,0.0,0,30.0,0,0,0.0,1,0,0,0,1,0,3,0,0,0,0,0,0,16.0,0.53,0,0
23.0,0,474.0,0.0,0.0,42.0,0.0,0,52.0,0,0,3.0,1,0,0,0,1,0,3,0,0,0,0,0,0,18.0,0.6,1,0
31.0,1,507.0,0.0,0.0,0.0,0.0,0,218.0,0,0,8.0,1,0,0,1,0,2,4,0,0,0,0,0,0,62.0,2.07,0,0
25.0,0,557.0,3.0,0.0,79.0,3.0,0,190.0,0,0,5.0,1,1,1,0,1,0,3,0,0,0,0,1,0,60.0,2.0,0,0
32.0,0,552.0,0.0,0.0,0.0,0.0,0,102.0,0,0,5.0,1,0,0,0,1,2,0,0,0,0,0,0,0,8.0,0.27,0,0
23.0,0,643.0,0.0,0.0,8.0,0.0,0,15.0,0,0,0.0,1,1,1,1,0,0,4,0,0,0,0,0,0,4.0,0.44,0,0
33.0,1,538.0,0.0,0.0,0.0,0.0,0,267.0,0,0,8.0,1,0,0,0,1,0,0,0,0,0,0,0,0,67.0,2.23,0,0
59.0,0,598.0,4.0,1.0,72.0,4.0,0,149.0,0,0,13.0,1,0,0,1,0,2,1,0,0,0,0,0,0,41.0,1.37,1,0
27.0,1,438.0,0.0,0.0,1.0,0.0,0,225.0,0,0,18.0,1,1,1,0,1,2,3,0,0,0,0,1,0,54.0,1.8,0,1
28.0,1,516.0,0.0,0.0,14.0,0.0,0,143.0,0,0,10.0,1,1,1,0,1,0,3,0,0,0,0,1,0,44.0,1.47,1,0
38.0,1,495.0,0.0,0.0,93.0,0.0,0,181.0,0,0,17.0,1,1,1,1,0,3,3,0,0,0,0,0,0,46.0,1.53,0,0
26.0,1,556.0,40.0,0.0,87.0,40.0,0,222.0,0,0,7.0,1,1,1,1,0,0,0,0,0,0,0,0,0,50.0,1.67,1,0
21.0,0,576.0,0.0,0.0,8.0,0.0,0,21.0,0,0,7.0,1,1,1,0,1,0,3,0,0,0,0,0,0,6.0,0.2,0,0
24.0,1,654.0,6.0,0.0,163.0,6.0,0,290.0,0,0,44.0,1,1,1,0,1,0,0,0,0,0,0,1,0,67.0,2.23,0,0
23.0,1,731.0,13.0,2.0,71.0,13.0,0,136.0,0,0,8.0,1,0,0,0,1,0,0,0,0,0,0,0,0,11.0,0.37,1,0
29.0,1,569.0,0.0,0.0,143.0,0.0,0,296.0,0,0,5.0,1,1,1,0,1,0,4,0,0,0,0,0,0,57.0,1.9,1,0
24.0,-1,440.0,0.0,0.0,29.0,0.0,0,205.0,0,0,3.0,1,1,1,0,1,3,4,0,0,0,0,0,0,48.0,1.6,0,0
22.0,-1,536.0,1.0,0.0,5.0,1.0,0,10.0,0,0,1.0,1,0,0,1,0,0,3,0,0,0,0,1,0,5.0,0.17,0,0
61.0,0,565.0,0.0,0.0,0.0,0.0,1,58.0,0,0,6.0,1,1,1,1,0,0,0,0,0,0,0,0,0,34.0,1.13,0,0
30.0,1,487.0,0.0,0.0,40.0,0.0,0,273.0,0,0,15.0,1,1,1,0,1,0,3,0,0,0,0,0,0,61.0,2.03,0,0
41.0,1,514.0,21.0,9.0,181.0,20.0,0,289.0,0,0,35.0,1,0,0,1,0,0,3,0,0,0,0,0,0,65.0,2.17,1,0
49.0,-1,483.0,2.0,2.0,89.0,2.0,0,213.0,0,0,22.0,1,0,0,0,1,3,2,0,0,0,0,1,0,54.0,1.8,0,0
23.0,1,516.0,4.0,0.0,10.0,4.0,0,10.0,0,0,9.0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,0.6,1,0
36.0,1,435.0,49.0,0.0,56.0,49.0,0,243.0,0,0,11.0,1,1,1,1,0,2,3,0,0,0,0,1,0,56.0,1.87,0,0
29.0,1,477.0,2.0,0.0,72.0,2.0,0,164.0,0,0,19.0,1,0,0,0,1,0,3,0,0,0,0,0,0,9.0,0.3,1,0
22.0,1,530.0,7.0,2.0,0.0,7.0,0,44.0,0,0,8.0,1,0,0,0,1,0,3,0,0,0,0,0,0,18.0,0.6,0,0
25.0,0,538.0,3.0,0.0,71.0,3.0,0,145.0,0,0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,41.0,1.37,0,0
31.0,1,516.0,0.0,0.0,40.0,0.0,0,128.0,0,0,21.0,1,1,1,0,1,2,3,0,0,0,0,0,0,28.0,0.97,0,0
31.0,1,530.0,6.0,0.0,0.0,6.0,2,245.0,0,0,14.0,1,0,0,1,0,2,0,0,0,0,0,0,0,71.0,2.37,1,0
29.0,0,512.0,1.0,0.0,52.0,1.0,0,87.0,0,0,7.0,1,0,0,1,0,0,3,0,0,0,0,0,0,20.0,0.67,1,0
25.0,-1,641.0,1.0,0.0,188.0,1.0,0,283.0,0,0,19.0,1,1,1,0,1,0,1,0,0,0,0,1,0,66.0,2.2,1,0
37.0,0,574.0,49.0,0.0,138.0,49.0,0,289.0,0,0,20.0,1,1,1,1,0,0,4,0,0,0,0,0,0,62.0,2.07,1,0
39.0,1,491.0,29.0,15.0,86.0,29.0,0,195.0,0,0,96.0,1,1,1,0,1,2,3,0,0,0,0,1,0,51.0,1.7,1,0
34.0,0,495.0,0.0,0.0,8.0,0.0,0,174.0,0,0,6.0,1,0,0,1,0,0,3,0,0,0,0,0,0,46.0,1.53,1,0
23.0,1,563.0,0.0,0.0,55.0,0.0,0,118.0,0,0,4.0,1,0,0,0,1,0,4,0,0,0,0,0,0,30.0,1.0,0,0
29.0,-1,567.0,1.0,0.0,66.0,1.0,0,145.0,0,0,7.0,1,0,0,0,1,0,0,0,0,0,0,0,0,48.0,1.6,0,0
38.0,0,546.0,0.0,0.0,40.0,0.0,0,172.0,0,0,6.0,1,0,0,0,1,0,3,0,0,0,0,1,0,45.0,1.5,0,0
28.0,-1,537.0,16.0,1.0,108.0,16.0,0,256.0,0,0,13.0,1,1,1,0,1,2,0,0,0,0,0,1,0,63.0,2.1,0,0
21.0,0,596.0,0.0,0.0,45.0,0.0,0,165.0,0,0,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,39.0,1.3,0,0
35.0,0,629.0,0.0,0.0,28.0,0.0,0,92.0,0,0,11.0,1,0,0,1,0,2,3,0,0,0,0,0,0,18.0,0.86,0,0
26.0,0,564.0,0.0,0.0,91.0,0.0,0,211.0,0,0,4.0,1,1,1,0,1,0,3,0,0,0,0,0,0,43.0,1.43,1,0
57.0,0,595.0,0.0,0.0,0.0,0.0,0,258.0,0,0,52.0,1,1,1,1,0,0,3,0,0,0,0,0,0,62.0,2.07,0,0
18.0,-1,591.0,3.0,0.0,93.0,2.0,0,158.0,0,0,32.0,1,1,1,0,1,0,1,0,0,0,0,0,0,32.0,1.07,0,0
31.0,-1,512.0,3.0,1.0,36.0,3.0,0,86.0,0,0,4.0,1,1,1,0,1,0,4,0,0,0,0,0,0,21.0,0.88,0,0
24.0,1,504.0,47.0,1.0,82.0,47.0,0,209.0,0,0,13.0,1,1,1,0,1,0,0,0,0,0,0,0,0,60.0,2.0,1,0
46.0,1,568.0,0.0,0.0,0.0,0.0,0,126.0,0,0,5.0,1,0,0,0,1,2,3,0,0,0,0,0,0,41.0,1.37,1,0
26.0,0,523.0,0.0,0.0,6.0,0.0,0,20.0,0,0,2.0,1,1,1,1,0,0,2,0,0,0,0,0,0,6.0,0.2,0,0
29.0,0,548.0,0.0,0.0,7.0,0.0,0,200.0,0,0,12.0,1,0,0,0,1,0,3,0,0,0,0,0,0,53.0,1.77,0,0
27.0,1,494.0,3.0,0.0,94.0,3.0,0,126.0,0,0,23.0,1,1,1,0,1,2,0,0,0,0,0,0,0,28.0,0.93,0,0
28.0,1,643.0,30.0,1.0,0.0,30.0,0,205.0,0,0,21.0,1,0,0,1,0,0,4,0,0,0,0,1,0,53.0,1.77,0,0
32.0,0,531.0,14.0,6.0,63.0,11.0,0,122.0,0,0,29.0,1,1,1,1,0,2,3,0,0,0,0,0,0,37.0,1.23,1,0
29.0,1,536.0,0.0,0.0,69.0,0.0,0,210.0,0,0,5.0,1,0,0,0,1,0,2,0,0,0,0,1,0,50.0,1.67,1,0
31.0,1,496.0,4.0,0.0,36.0,4.0,0,83.0,0,0,3.0,1,0,0,0,1,0,1,0,0,0,0,0,0,19.0,0.63,1,0
60.0,1,431.0,60.0,0.0,72.0,59.0,0,280.0,0,0,53.0,1,1,1,1,0,2,0,0,0,0,0,0,0,67.0,2.23,1,0
21.0,0,515.0,1.0,1.0,0.0,1.0,0,52.0,0,0,7.0,1,0,0,0,1,0,3,0,0,0,0,0,0,24.0,0.8,0,0
27.0,1,564.0,8.0,1.0,53.0,8.0,0,110.0,0,0,6.0,1,0,0,0,1,0,4,0,0,0,0,0,0,38.0,1.27,0,0
36.0,-1,547.0,0.0,0.0,13.0,0.0,0,5.0,0,0,0.0,1,0,0,0,1,0,3,0,0,0,0,0,0,9.0,0.3,0,0
41.0,1,542.0,10.0,3.0,34.0,10.0,0,180.0,0,0,68.0,1,1,1,0,1,0,3,0,0,0,0,0,0,67.0,2.23,1,0
26.0,1,469.0,0.0,0.0,40.0,0.0,0,142.0,0,0,12.0,1,1,1,0,1,0,3,0,0,0,0,0,0,42.0,1.4,0,0
26.0,0,529.0,3.0,1.0,30.0,3.0,0,24.0,0,0,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,5.0,0.71,0,0
35.0,0,469.0,0.0,0.0,0.0,0.0,0,205.0,0,0,15.0,1,1,1,0,1,0,3,0,0,0,0,0,0,71.0,2.37,0,0
37.0,1,568.0,0.0,0.0,0.0,0.0,0,271.0,0,0,22.0,1,1,1,0,1,0,4,0,0,0,0,0,0,68.0,2.27,0,0
34.0,0,566.0,0.0,0.0,76.0,0.0,0,134.0,0,0,17.0,1,1,1,1,0,0,4,0,0,0,0,0,0,33.0,1.1,1,0
30.0,0,582.0,0.0,0.0,25.0,0.0,0,36.0,0,0,5.0,1,1,1,0,1,0,3,0,0,0,0,0,0,14.0,0.47,0,1
33.0,1,516.0,0.0,0.0,99.0,0.0,0,150.0,0,0,15.0,1,1,1,0,1,0,4,0,0,0,0,0,0,43.0,1.43,1,0
32.0,1,551.0,0.0,0.0,7.0,0.0,0,5.0,0,0,0.0,1,1,1,0,1,0,4,0,0,0,0,0,0,8.0,0.27,1,0
29.0,1,539.0,0.0,0.0,0.0,0.0,0,121.0,0,0,13.0,1,1,1,0,1,0,3,0,0,0,0,0,0,24.0,0.8,0,0
58.0,-1,539.0,9.0,0.0,10.0,9.0,0,35.0,0,0,9.0,1,1,1,1,0,0,2,0,0,0,0,0,0,11.0,0.85,0,0
27.0,0,548.0,0.0,0.0,12.0,0.0,0,20.0,0,0,1.0,1,0,0,1,0,0,3,0,0,0,0,0,0,7.0,0.23,0,0
30.0,1,674.0,12.0,3.0,73.0,12.0,0,250.0,0,0,24.0,1,1,1,0,1,2,2,0,0,0,0,0,0,65.0,2.17,0,0
24.0,1,514.0,0.0,0.0,15.0,0.0,0,15.0,0,0,2.0,1,1,1,0,1,0,3,0,0,0,0,1,0,2.0,0.11,0,0
25.0,0,515.0,5.0,2.0,21.0,5.0,0,44.0,0,0,6.0,1,1,1,1,0,0,1,0,0,0,0,0,0,11.0,0.37,1,0
27.0,1,544.0,9.0,2.0,63.0,9.0,0,154.0,0,0,8.0,1,1,1,0,1,0,0,0,0,0,0,0,0,36.0,1.2,1,0
